	090317_0121166	090318_0121167	090319_0121168	090320_0121169	090321_0121170	090322_0121171	090323_0121172	090324_0121173	090325_0121174	090326_0121175	090327_0121176	090328_0121177	090329_0121178	090330_0121179	090331_0121180	090332_0121181	090333_0121182	090334_0121183	090335_0121184	090336_0121185	090337_0121186	090338_0121187	090339_0121188	090340_0121189	090341_0121190	090342_0121191	090343_0121192	090344_0121193	090345_0121194	090346_0121195	090347_0121196	090348_0121197	090349_0121198	090350_0121199	090351_0121200	090352_0121201	090353_0121202	090354_0121203	090355_0121204	090356_0121205	090357_0121206	090358_0121207	090359_0121208	090360_0121209	090361_0121210	090362_0121211	090363_0121212	090364_0121213	090365_0121214	090366_0121215
GNA15	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GNAI2	8.1	8.5	8.3	8.7	8.4	8.5	8.7	8.7	7.7	9.0	8.8	8.7	8.6	8.5	8.7	8.6	8.4	8.2	8.5	8.7	8.6	8.5	8.3	8.3	8.3	8.4	8.4	8.7	8.7	8.7	8.6	8.4	8.2	8.1	8.3	8.5	8.6	8.5	8.3	8.8	8.1	8.5	8.3	8.2	8.7	8.5	8.5	8.5	8.1	8.3
GNAI3	6.3	6.4	6.5	6.2	6.4	6.4	6.7	6.3	6.0	6.4	6.4	6.2	6.3	6.6	6.4	6.5	6.1	6.4	6.5	6.3	6.4	6.4	6.5	6.6	6.4	6.4	6.5	6.4	6.6	6.3	6.2	6.6	6.4	6.5	6.4	6.3	6.4	6.5	6.5	6.4	6.2	6.4	6.5	6.5	6.5	6.5	6.2	6.3	6.5	6.3
GNAL	2.8	2.8	3.0	2.8	2.8	3.6	3.2	2.6	2.8	3.0	2.3	2.0	2.6	3.2	3.3	3.2	3.0	1.6	3.0	3.0	2.6	2.8	3.2	2.6	2.8	2.3	3.0	2.8	2.8	2.8	2.8	3.0	3.2	3.5	2.8	3.0	3.2	3.2	3.0	3.0	2.8	3.0	3.0	2.8	3.2	2.8	3.0	3.5	3.5	3.0
GNAO1	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.6	1.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.6	1.0	1.0	1.0	1.0	1.6
GNAQ	6.6	6.4	6.6	6.1	6.3	6.3	7.1	6.0	6.6	5.9	6.1	6.0	6.3	6.2	6.0	6.4	6.3	6.1	6.3	6.4	6.4	6.4	7.5	6.5	6.2	6.3	6.4	6.2	6.2	6.2	6.3	6.4	6.4	6.5	6.4	6.5	6.4	6.5	6.3	6.6	6.7	6.6	6.6	6.4	6.4	6.5	6.4	6.6	6.4	6.1
GNAS	10.3	10.6	10.3	10.6	10.6	10.6	10.4	10.6	9.7	10.8	10.4	10.5	10.5	10.5	10.7	10.4	10.4	10.4	10.4	10.5	10.6	10.4	10.5	10.5	10.2	10.4	10.4	10.4	10.6	10.6	10.4	10.3	10.3	10.3	10.4	10.5	10.5	10.5	10.4	10.5	10.0	10.4	10.3	10.4	10.4	10.5	10.3	10.4	10.3	10.5
GNB1	8.6	8.5	8.6	8.4	8.5	8.7	9.1	8.4	8.3	8.5	8.5	8.1	8.4	8.5	8.4	8.6	8.5	8.3	8.4	8.5	8.4	8.6	9.3	8.5	8.4	8.4	8.7	8.5	8.5	8.3	8.4	8.5	8.6	8.5	8.4	8.4	8.6	8.7	8.5	8.6	8.7	8.5	8.6	8.5	8.8	8.6	8.4	8.7	8.4	8.5
GNB5	1.6	2.3	2.0	2.3	2.3	2.0	2.0	2.0	3.0	2.3	2.3	2.3	2.0	2.3	2.0	2.3	2.3	2.3	2.6	2.0	2.6	2.0	2.6	2.3	2.0	2.3	2.0	2.3	2.3	1.6	2.3	2.3	2.3	2.6	2.6	2.3	2.3	2.3	2.3	2.3	2.0	2.0	2.0	2.6	2.3	2.3	2.3	2.0	2.3	2.6
GNG2	4.7	4.8	5.0	4.8	4.9	5.1	5.4	4.6	4.7	4.9	5.2	4.6	5.0	5.2	4.9	5.3	4.9	4.7	4.6	4.5	4.5	4.9	5.6	4.8	4.8	4.8	5.2	4.9	5.0	4.6	4.7	5.0	5.2	5.2	4.5	4.6	5.0	5.0	4.8	4.7	4.8	5.0	5.0	5.3	5.0	5.0	5.0	5.2	5.4	5.0
GOT2	6.1	6.3	6.3	6.5	6.3	6.6	6.6	6.5	6.1	6.5	6.3	6.6	6.4	6.5	6.6	6.6	6.1	6.4	6.2	6.3	6.4	6.4	6.5	6.2	6.1	6.5	6.5	6.6	6.6	6.4	6.5	6.4	6.2	6.1	6.2	6.2	6.5	6.4	6.5	6.4	6.0	6.5	6.3	6.2	6.6	6.4	6.3	6.4	6.2	6.4
GRIN1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GRK2	5.2	5.4	5.2	5.5	5.5	5.4	5.3	5.5	4.8	5.8	5.9	6.0	5.6	5.6	5.6	5.9	5.3	5.4	5.1	5.7	5.5	5.4	5.5	5.3	5.0	5.2	5.4	5.3	5.5	5.6	5.4	5.2	5.4	5.2	5.1	5.2	5.5	5.7	5.3	5.5	5.2	5.5	5.2	5.6	5.4	5.5	5.4	5.5	5.5	5.5
GSK3A	5.3	5.4	5.2	5.4	5.4	5.5	5.8	5.3	5.3	6.0	5.4	5.7	5.5	5.5	5.4	5.5	5.4	5.0	5.3	5.3	5.3	5.3	6.1	5.4	5.2	5.2	5.5	5.4	5.5	5.3	5.6	5.1	5.6	5.2	5.3	5.2	5.5	5.5	5.5	5.6	5.6	5.7	5.2	5.6	5.4	5.5	5.6	5.3	5.4	5.4
GSK3B	5.4	5.6	5.8	5.4	5.6	5.5	5.9	5.3	5.1	5.2	5.4	5.1	5.4	5.6	5.4	5.4	5.5	5.4	5.6	5.7	5.4	5.7	6.9	5.6	5.7	5.5	5.8	5.6	5.6	5.5	5.6	5.6	5.7	5.9	5.8	5.7	5.7	5.6	5.6	5.3	5.3	5.7	5.8	5.6	5.9	5.6	5.3	5.6	5.5	5.4
HCN3	1.6	1.6	1.6	1.0	1.6	1.6	2.0	1.6	0.0	2.6	1.0	2.0	0.0	1.6	1.0	0.0	1.6	2.0	1.6	1.6	2.6	1.6	3.0	1.6	1.6	2.0	1.6	1.6	2.3	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.0	1.6	2.0	1.6	2.0	1.6	1.6	2.0	1.6	2.0	2.0	1.6
HDAC2	7.4	7.1	7.2	7.0	7.1	7.0	7.0	7.0	6.9	6.8	7.0	7.0	7.0	6.9	6.9	7.0	7.2	7.2	7.1	7.0	7.0	7.1	6.7	7.2	7.1	7.2	7.1	7.1	7.0	7.0	7.1	7.1	7.1	7.1	7.1	7.1	6.9	7.0	7.1	6.9	7.2	7.1	7.1	6.9	6.9	7.0	7.0	7.1	7.1	6.9
HDAC5	2.8	3.3	2.8	3.7	3.6	2.8	3.0	3.5	2.6	3.2	3.5	3.5	3.5	2.8	2.8	3.5	3.3	3.0	2.8	3.0	3.5	3.5	2.0	2.6	2.8	3.2	2.6	3.5	3.7	3.3	3.5	2.6	2.8	2.8	2.8	3.2	3.2	3.2	2.6	3.2	3.0	3.3	3.0	2.3	3.3	3.3	3.0	3.6	2.6	3.2
HNMT	4.5	4.4	3.9	4.1	4.2	4.2	4.7	3.8	3.6	4.0	4.1	3.6	4.2	4.4	4.0	3.9	3.7	3.7	3.3	4.1	4.2	4.2	4.2	4.2	3.8	4.1	4.1	4.9	4.2	5.0	4.2	3.8	4.2	3.6	4.6	4.5	4.2	4.6	4.8	3.9	3.7	4.2	4.2	4.0	4.0	4.2	3.8	3.3	3.9	3.8
HNRNPD	9.8	9.7	9.8	9.7	9.7	9.7	9.7	9.8	9.2	9.5	9.4	9.3	9.5	9.5	9.5	9.4	9.7	9.7	9.9	9.7	9.6	9.8	10.0	10.0	9.8	9.7	9.6	9.6	9.5	9.6	9.6	9.9	9.8	9.8	9.8	9.6	9.7	9.6	9.9	9.6	9.6	9.8	9.8	9.7	9.6	9.7	9.8	9.7	9.6	9.7
HOMER1	5.7	5.9	6.0	5.9	5.7	5.5	6.3	5.7	4.5	5.2	5.6	5.4	5.7	5.5	5.3	5.8	5.6	5.4	6.0	6.2	6.0	6.0	6.4	6.0	5.8	6.0	6.1	5.9	6.0	5.8	5.8	6.1	5.4	5.3	5.6	5.7	5.8	5.9	5.7	6.0	5.7	5.9	5.9	5.3	6.2	5.8	5.7	6.0	5.5	5.3
HOMER2	2.0	2.0	2.8	2.3	2.3	2.6	1.0	2.0	2.8	1.6	2.6	2.3	1.6	2.3	2.3	2.3	2.0	2.6	2.6	2.0	2.0	3.2	1.6	2.6	3.0	2.8	2.6	2.0	2.8	2.6	2.3	2.8	2.6	2.3	1.6	1.6	2.3	2.8	2.3	2.8	2.3	2.3	2.3	1.6	2.6	2.3	2.0	2.0	2.6	2.8
HRH1	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
HRH2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
HRH3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HRH4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HSP90AB1	11.6	11.8	11.8	11.7	11.7	11.6	11.1	11.8	11.3	11.6	11.5	11.7	11.7	11.6	11.7	11.6	11.9	11.8	11.7	11.8	11.6	11.7	10.8	11.8	11.9	11.9	11.7	11.8	11.7	11.7	11.7	11.9	11.9	11.9	11.9	11.8	11.6	11.6	12.0	11.5	11.6	11.8	11.7	11.7	11.7	11.6	11.8	11.7	11.7	11.8
HSPA5	9.6	9.7	9.6	9.7	9.7	9.7	9.5	9.7	9.4	9.8	9.6	9.9	9.7	9.6	9.9	9.6	9.6	9.8	9.6	9.5	9.7	9.6	9.3	9.7	9.7	9.8	9.8	9.8	9.8	9.7	9.5	9.7	9.6	9.6	9.7	9.6	9.6	9.7	9.7	9.4	9.3	9.6	9.7	9.5	9.4	9.6	9.6	9.4	9.7	9.7
HTR1A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR1B	1.0	0.0	0.0	0.0	0.0	1.6	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.6	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.6	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	1.6	1.0
HTR1D	1.0	1.0	1.0	1.0	1.6	1.0	1.6	1.0	2.8	0.0	2.0	1.0	1.6	0.0	1.0	0.0	1.0	1.0	1.0	1.6	1.0	1.0	1.0	0.0	1.0	1.0	1.6	1.0	1.0	1.0	0.0	1.0	1.0	1.6	1.6	1.0	1.0	0.0	1.0	1.6	1.0	2.3	1.6	1.0	1.6	1.0	1.0	0.0	1.0	1.0
HTR1E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR1F	1.0	1.0	1.0	0.0	1.0	1.0	1.6	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.6	1.0	1.6	1.0	1.6	1.0	1.0	1.0	1.6	1.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.6	1.0	0.0	1.6	1.6	1.0	1.0	1.0	1.0
HTR2A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR2B	1.0	2.0	2.0	2.0	1.6	2.3	2.0	1.6	3.0	1.6	2.3	2.8	2.0	1.0	2.0	2.3	2.0	1.0	1.0	2.3	2.0	1.6	0.0	1.6	1.0	1.6	1.0	2.3	1.0	2.6	2.0	1.6	1.6	2.0	2.3	2.0	2.0	1.6	1.0	1.0	1.6	1.6	2.0	2.3	1.0	2.0	2.3	2.3	2.8	2.8
HTR2C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR3A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR3B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
HTR3C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR3D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR3E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
HTR5A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR7	3.5	3.3	3.5	3.6	3.2	3.5	3.5	3.0	1.0	3.2	3.2	3.6	3.2	3.6	3.3	3.3	3.0	3.3	3.0	3.0	3.7	3.5	2.8	3.5	3.2	3.2	3.6	2.8	2.8	3.3	3.0	3.2	3.2	3.6	3.5	3.7	3.5	3.6	3.3	3.3	3.0	3.2	3.3	3.8	3.5	3.6	3.5	3.6	3.7	3.6
ID1	8.4	8.2	8.2	8.1	8.2	8.4	8.6	8.3	8.6	8.5	8.4	8.0	8.1	8.2	8.1	8.5	8.0	8.4	7.9	7.9	8.0	8.0	8.3	7.5	8.0	8.0	8.3	8.4	8.2	8.1	8.1	8.0	8.4	8.3	8.1	8.3	8.4	8.3	7.8	8.4	8.8	8.1	8.1	8.5	8.3	8.5	8.4	8.4	8.7	8.3
KCNC2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KLF16	3.5	3.2	3.5	3.5	3.2	3.6	3.7	3.2	3.3	4.1	3.3	3.3	3.6	3.5	3.7	3.7	3.6	3.6	3.2	3.5	3.0	3.3	4.7	3.9	3.5	2.8	3.2	3.2	2.6	3.3	3.7	3.7	4.2	3.8	3.2	2.8	3.2	3.2	3.5	3.5	3.8	3.3	2.8	4.2	3.5	3.5	4.0	4.4	3.8	3.5
LRRK2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LY6G6D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LY6H	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.6	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0
LYPD1	1.6	1.6	0.0	1.0	1.0	1.0	1.6	1.6	0.0	0.0	1.0	0.0	2.0	1.0	1.6	0.0	0.0	2.0	1.0	0.0	0.0	1.0	2.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	1.6	1.6	1.6	1.0	1.6	0.0	1.0	1.6	0.0	1.0	0.0	1.0	1.0	2.3	1.6	1.0	0.0	1.6	2.3	2.3
MAP1LC3A	4.5	4.6	4.7	4.6	4.4	4.6	4.9	4.5	6.4	5.8	5.4	4.9	5.6	5.0	4.9	5.0	4.7	4.6	4.5	4.9	4.6	5.0	5.8	4.4	5.0	4.5	5.0	4.8	4.8	4.7	4.9	4.4	4.7	4.3	4.7	4.3	4.7	4.8	5.0	4.6	5.4	4.8	4.2	4.2	4.9	4.6	4.7	5.2	4.3	4.6
MAPK1	5.9	5.8	5.9	5.6	5.9	6.0	6.5	5.6	5.6	5.7	5.8	5.4	5.7	5.8	5.7	5.9	5.4	5.2	5.6	5.5	5.5	5.8	6.5	5.6	5.6	5.5	5.8	5.6	5.7	5.6	5.5	5.8	5.8	5.6	5.4	5.8	6.0	6.1	5.6	6.3	5.7	5.8	5.9	5.9	6.0	6.0	5.6	6.0	5.9	5.7
MAPK3	5.3	6.0	5.0	5.8	5.6	5.7	6.0	5.6	3.2	6.5	6.0	5.7	5.3	5.6	5.2	5.6	5.0	4.5	5.0	5.6	5.5	5.7	5.0	5.4	4.6	5.0	5.3	5.6	5.5	5.8	5.7	5.0	4.6	4.5	4.2	5.2	6.0	5.9	4.6	6.0	5.1	5.9	5.5	4.9	5.6	5.7	5.8	5.8	5.3	5.1
MDM2	6.0	5.8	6.0	5.7	5.8	5.8	6.2	5.5	5.7	5.3	5.7	5.3	5.7	5.6	5.5	5.7	5.6	5.4	5.9	5.5	5.7	5.9	6.8	5.8	5.8	5.7	6.0	5.8	5.6	5.9	5.9	5.7	5.8	5.9	5.9	5.9	5.6	5.8	5.8	5.8	5.9	6.0	5.9	5.8	5.8	5.8	5.4	5.8	5.9	5.6
MTOR	3.9	4.6	4.6	4.9	4.6	4.6	4.5	4.7	2.0	4.2	3.9	4.5	4.4	4.5	4.2	4.2	4.2	4.1	4.5	4.6	4.7	4.6	4.2	4.5	4.0	4.5	4.7	4.6	4.8	4.6	4.6	4.6	4.3	4.2	4.2	4.7	4.6	4.8	4.5	4.8	3.3	4.6	4.4	4.2	4.5	4.5	4.5	4.5	4.2	4.5
MTRNR2L5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.6	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0
NCSTN	6.4	7.1	6.8	7.4	7.1	7.1	7.2	7.1	5.4	7.1	7.3	7.5	7.2	7.2	7.3	7.2	6.7	6.6	7.1	7.3	7.2	7.1	7.0	6.6	6.5	7.0	6.9	7.2	7.2	7.2	7.3	6.9	6.6	6.6	6.7	7.0	7.3	7.1	6.7	7.4	6.2	7.1	7.0	6.8	7.0	7.1	7.1	7.0	6.6	7.0
NPFF	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.6	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
NSG1	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.6	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	1.0	1.0	0.0	1.0	1.0	0.0
NSG2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
OPRM1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
OR10H2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR10H3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR10H4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
