symbol	Biffle	CAR_MplusCHLA_3	H9_MplusCHLA_1	H9_MplusCHLA_2	H9_MplusCHLA_3	CAR_MplusCHLA_1	CAR_MplusCHLA_2
CRYGA	0	0	0	0	0	0	0
CRYGB	0	0	0	0	0	0	0
CRYGC	0	0	0	0	0	0	0
CRYGD	0	0	0	0	0	0	0
CRYGN	0	0	0	0	0	0	0
CRYGS	0	0	0	0	0	0	0
CRYL1	307	2396	307	3448	2511	1224	2008
CRYM	0	0	0	0	0	0	0
CRYM-AS1	23	0	23	22	13	0	1
CRYZ	169	858	169	464	501	179	457
CRYZL1	4	1471	4	883	680	0	999
CRYZL2P	0	146	0	302	77	0	453
CRYZL2P-SEC16B	0	0	0	0	0	0	0
CS	1217	6877	1217	7056	6930	2290	5878
CSAD	86	3	86	1	26	1	125
CSAG1	0	0	0	0	0	0	0
CSAG3	0	0	0	0	0	0	0
CSAG4	0	0	0	0	0	0	0
CSDC2	0	0	0	0	1	1	0
CSDE1	16663	61576	16663	57509	58726	25455	51574
CSE1L	1628	7101	1628	8703	9935	2135	6713
CSE1L-AS1	0	0	0	0	0	0	0
CSF1	234	514	234	375	654	1	682
CSF1R	15743	48244	15743	41418	38632	28688	35623
CSF2	0	0	0	0	0	0	0
CSF2RA	3103	8733	3103	7488	8879	4471	10406
CSF2RB	626	9132	626	5039	4987	2986	7020
CSF3	0	0	0	0	0	0	0
CSF3R	0	323	0	430	686	2	652
CSGALNACT1	0	1	0	0	74	0	0
CSGALNACT2	328	3970	328	2141	1929	233	3741
CSH1	0	0	0	0	0	0	0
CSH2	0	0	0	0	0	0	0
CSHL1	0	0	0	0	0	0	0
CSK	5244	18807	5244	16237	14050	9012	17453
CSKMT	0	8	0	0	0	0	67
CSMD1	0	0	0	0	0	0	0
CSMD2	0	0	0	0	0	0	0
CSMD2-AS1	0	0	0	0	0	0	0
CSMD3	0	0	0	0	0	0	0
CSN1S1	0	0	0	0	0	0	0
CSN1S2AP	0	0	0	0	0	0	0
CSN1S2BP	0	0	0	0	0	0	0
CSN2	0	0	0	0	0	0	0
CSN3	0	0	0	0	0	0	0
CSNK1A1	1407	7991	1407	5395	7327	2457	9404
CSNK1A1L	1	18	1	1	139	0	0
CSNK1A1P1	0	0	0	0	0	0	0
CSNK1D	1775	9135	1775	7165	6448	3680	9269
CSNK1E	947	1307	947	1579	900	1118	846
CSNK1G1	1057	3388	1057	2316	3406	1267	4326
CSNK1G2	179	1962	179	2274	1885	535	1830
CSNK1G2-AS1	0	0	0	0	0	0	0
CSNK1G3	4	1054	4	737	1344	1	1195
CSNK2A1	1254	10407	1254	7472	7386	3937	10817
CSNK2A2	223	1197	223	912	1179	446	897
CSNK2A3	0	0	0	0	0	0	0
CSNK2B	2000	4037	2000	3513	4511	956	4067
CSPG4	0	0	0	0	0	0	0
CSPG4P1Y	0	0	0	0	0	0	0
CSPG5	0	35	0	0	0	0	0
CSPP1	2145	963	2145	629	463	265	1149
CSRNP1	130	498	130	253	776	0	557
CSRNP2	283	1323	283	787	976	0	979
CSRNP3	0	2	0	0	88	0	0
CSRP1	1273	5	1273	4784	4254	2	2
CSRP2	0	188	0	56	1	0	71
CSRP3	3	2	3	0	2	0	0
CST1	0	0	0	0	0	0	0
CST11	0	0	0	0	0	0	0
CST13P	0	0	0	0	0	0	0
CST2	0	0	0	0	0	0	0
CST3	8043	8409	8043	13969	9166	6673	7117
CST4	0	0	0	0	0	1	0
CST5	0	0	0	0	0	0	0
CST6	0	0	0	0	0	0	0
CST7	0	157	0	59	0	0	199
CST8	0	0	0	0	0	0	0
CST9	0	0	0	0	0	0	0
CST9L	0	0	0	0	0	0	0
CSTA	167	248	167	176	95	172	524
CSTB	5496	14240	5496	15589	12751	6257	13934
CSTF1	684	810	684	1351	1336	592	1694
CSTF2	260	2776	260	2005	1835	1417	1467
CSTF2T	1842	7460	1842	4604	4269	2222	7068
CSTF3	148	2293	148	1067	1051	1062	1868
CSTF3-DT	47	1	47	60	0	314	2
CSTL1	0	0	0	0	0	0	0
CT45A1	0	0	0	0	0	0	0
CT45A10	0	0	0	0	0	0	0
CT45A2	0	0	0	0	0	0	0
CT45A3	0	0	0	0	0	0	0
CT45A5	0	0	0	0	0	0	0
CT45A6	0	0	0	0	0	0	0
CT45A7	0	0	0	0	0	0	0
CT45A8	0	0	0	0	0	0	0
CT45A9	0	0	0	0	0	0	0
CT47A1	0	0	0	0	0	0	0
CT47A10	0	0	0	0	0	0	0
CT47A11	0	0	0	0	0	0	0
CT47A12	0	0	0	0	0	0	0
CT47A2	0	0	0	0	0	0	0
CT47A3	0	0	0	0	0	0	0
CT47A4	0	0	0	0	0	0	0
CT47A5	0	0	0	0	0	0	0
CT47A6	0	0	0	0	0	0	0
CT47A7	0	0	0	0	0	0	0
CT47A8	0	0	0	0	0	0	0
CT47A9	0	0	0	0	0	0	0
CT47B1	0	0	0	0	0	0	0
CT55	0	0	0	0	0	0	0
CT62	0	0	0	0	0	0	0
CT83	0	0	0	0	0	0	0
CTAG1A	0	0	0	0	0	0	0
CTAG1B	0	0	0	0	0	0	0
CTAG2	0	0	0	0	0	0	0
CTAGE1	0	0	0	0	0	0	0
CTAGE10P	0	0	0	0	0	0	0
CTAGE11P	0	0	0	0	0	0	0
CTAGE15	0	0	0	0	0	0	0
CTAGE4	0	0	0	101	0	0	0
CTAGE6	0	0	0	0	0	0	0
CTAGE7P	0	0	0	0	0	0	0
CTAGE8	0	0	0	0	0	0	0
CTAGE9	0	0	0	0	0	0	0
CTB-178M22.2	0	0	0	0	0	0	0
CTBP1	1211	5870	1211	5338	5570	2427	6655
CTBP1-AS	2	100	2	11	51	9	0
CTBP1-DT	0	312	0	121	363	0	216
CTBP2	1	1782	1	1698	1289	891	1630
CTBS	1	854	1	972	877	0	562
CTC-338M12.4	0	43	0	50	0	0	2
CTC1	176	808	176	932	1115	7	917
CTCF	763	6962	763	3784	4790	2234	6278
CTCFL	39	26	39	0	0	3	1
CTD-2194D22.4	2	0	2	0	0	0	4
CTD-2201I18.1	0	0	0	0	0	0	0
CTD-2270F17.1	0	0	0	0	0	0	32
CTD-2297D10.2	0	0	0	0	0	0	0
CTD-2350J17.1	0	0	0	0	0	0	0
CTD-3080P12.3	0	0	0	19	22	0	0
CTDNEP1	2391	7091	2391	7313	7732	3290	7953
CTDP1	424	2765	424	1881	1064	1045	1987
CTDSP1	1971	5073	1971	5392	4637	1972	5297
CTDSP2	1907	8589	1907	5646	6235	3394	5801
CTDSPL	210	92	210	278	303	0	111
CTDSPL2	86	1918	86	1529	2156	461	1568
CTF1	3	69	3	48	0	0	72
CTGF	2	4	2	7	3	2	4
CTH	0	31	0	5	95	0	40
CTHRC1	0	0	0	0	0	0	0
CTIF	207	462	207	547	389	138	532
CTLA4	0	19	0	0	0	0	70
CTNNA1	2907	13070	2907	11086	12514	3966	13194
CTNNA2	5	17	5	0	0	0	0
CTNNA3	0	41	0	0	0	0	0
CTNNAL1	0	1122	0	426	811	270	1344
CTNNB1	3213	19733	3213	16258	15579	8007	21070
CTNNBIP1	1724	4164	1724	5321	5238	2545	4431
CTNNBL1	2135	13386	2135	8654	9365	3054	9784
CTNND1	2005	13584	2005	10342	11099	4695	13579
CTNND2	0	0	0	0	0	0	0
CTNS	440	2025	440	2677	2451	2283	1607
CTPS1	917	3872	917	4790	4398	979	3292
CTPS2	291	764	291	1437	1924	188	749
CTR9	1574	10292	1574	5384	6440	1924	9496
CTRB1	0	43	0	0	0	0	5
CTRB2	0	0	0	0	0	0	0
CTRC	0	0	0	0	0	0	0
CTRL	0	0	0	0	0	0	0
CTSA	9593	27120	9593	27863	30673	15818	22550
CTSB	230329	643875	230329	644749	644266	326624	575740
CTSC	5052	32487	5052	24205	30800	9777	31064
CTSD	106544	169497	106544	268198	251114	109137	129113
CTSE	10	87	10	12	20	5	13
CTSF	96	111	96	153	174	0	188
CTSG	0	0	0	0	0	0	0
CTSH	11028	42387	11028	35509	33567	21364	37775
CTSK	1158	5398	1158	3624	5658	1432	4363
CTSL	36935	148668	36935	119570	114741	46223	146264
CTSL3P	0	0	0	0	0	0	0
CTSLP2	2	0	2	1	1	6	0
CTSLP8	0	0	0	0	0	0	0
CTSO	0	1719	0	1596	1606	539	1959
CTSS	11835	64953	11835	62859	70627	22615	63498
CTSV	258	1761	258	404	337	729	1705
CTSW	0	49	0	0	0	0	0
CTSZ	163277	474478	163277	296711	244500	216380	403225
CTTN	5	364	5	322	574	310	502
CTTNBP2	0	1233	0	596	427	170	1206
CTTNBP2NL	1609	3951	1609	1494	1404	2023	3214
CTU1	0	162	0	322	0	0	81
CTU2	19	383	19	449	447	1	473
CTXN1	0	0	0	0	0	0	35
CTXN2	0	0	0	0	0	0	0
CTXN3	0	0	0	0	0	0	0
CTXND1	0	0	0	2	0	0	49
CTXND2	0	0	0	0	0	0	0
CUBN	4	88	4	0	2	0	0
CUEDC1	497	1486	497	1236	948	775	1319
CUEDC2	2489	7121	2489	4732	5291	2582	6092
CUL1	1406	5221	1406	3935	3933	2412	5194
CUL2	754	2886	754	2159	2584	1742	3441
CUL3	178	6489	178	3829	5810	2468	7374
CUL4A	1046	7404	1046	5099	6456	2506	7376
CUL4B	1162	5213	1162	4109	4423	1247	4420
CUL5	454	1769	454	1777	1619	769	3204
CUL7	95	1443	95	704	951	378	827
CUL9	871	2357	871	1281	1922	911	3113
CUTA	2444	4556	2444	3398	5863	1350	5108
CUTALP	131	370	131	377	263	139	563
CUTC	829	4029	829	5002	2914	1458	5227
CUX1	1556	5126	1556	3977	3274	3281	5773
CUX2	0	0	0	110	183	0	155
CUZD1	0	0	0	0	0	0	0
CWC15	979	3503	979	2710	2398	1097	3033
CWC22	1109	3765	1109	1863	1603	601	3351
CWC25	1500	1658	1500	2304	1166	781	2120
CWC27	842	4328	842	3029	2600	1381	4781
CWF19L1	100	1011	100	527	599	505	835
CWF19L2	2054	3360	2054	1662	1772	1350	2390
CWH43	0	0	0	0	0	0	0
CX3CL1	0	62	0	0	0	0	0
CX3CR1	0	0	0	0	147	0	46
CXADR	348	234	348	9	144	237	121
CXADRP2	0	0	0	0	0	0	0
CXADRP3	0	0	0	0	0	0	0
CXCL1	2	964	2	123	506	125	1314
CXCL10	0	209	0	184	0	0	170
CXCL11	0	56	0	0	0	0	0
CXCL12	0	61	0	0	0	0	0
CXCL13	0	0	0	0	0	0	0
CXCL14	6	3	6	2	1	8	5
CXCL16	712	3911	712	2074	2849	2266	3714
CXCL17	0	0	0	0	0	0	0
CXCL2	0	0	0	0	1	0	47
CXCL3	0	99	0	0	0	0	155
CXCL5	6	97	6	14	16	12	15
CXCL6	0	0	0	0	0	0	0
CXCL8	168	2076	168	225	314	949	3087
CXCL9	0	0	0	40	0	0	0
CXCR1	0	0	0	0	0	0	0
CXCR2	130	219	130	81	95	0	170
CXCR2P1	0	0	0	0	0	0	8
CXCR3	0	0	0	0	0	0	0
CXCR4	1	115	1	135	116	0	41
CXCR5	0	0	0	0	0	0	0
CXCR6	0	0	0	0	0	0	0
CXXC1	962	1969	962	2009	1827	1351	2842
CXXC1P1	0	0	0	0	0	0	0
CXXC4	0	0	0	59	1	0	0
CXXC4-AS1	4	9	4	2	2	0	5
CXXC5	133	948	133	95	189	136	975
CXXC5-AS1	0	0	0	0	0	0	1
CXorf21	1102	2485	1102	3099	3965	1221	3302
CXorf36	220	53	220	0	186	0	48
CXorf38	663	2520	663	2253	754	828	2588
CXorf40A	555	808	555	1411	1651	339	776
CXorf40B	565	1227	565	1638	1855	1011	989
CXorf49	0	0	0	0	0	0	0
CXorf49B	0	0	0	0	0	0	0
CXorf51A	0	0	0	0	0	0	0
CXorf51B	0	0	0	0	0	0	0
CXorf56	573	1311	573	2253	1174	465	2021
CXorf57	0	1	0	76	61	0	12
CXorf58	0	0	0	0	0	0	0
CXorf65	0	0	0	0	0	0	0
CXorf66	0	0	0	0	0	0	0
CXorf67	0	0	0	0	0	0	0
CYB561	0	442	0	133	337	569	577
CYB561A3	787	7304	787	1558	2659	2664	6426
CYB561D1	312	708	312	851	662	543	680
CYB561D2	341	379	341	409	809	87	360
CYB5A	0	598	0	352	243	0	430
CYB5B	1360	9597	1360	6914	8198	4442	10202
CYB5D1	1	1241	1	574	593	0	818
CYB5D2	504	333	504	252	443	10	304
CYB5R1	1433	3709	1433	2520	2724	1021	2089
CYB5R2	136	219	136	1	415	0	126
CYB5R3	2333	4358	2333	3679	4309	2488	3630
CYB5R4	81	3200	81	1667	3416	1771	3056
CYB5RL	2	380	2	341	85	0	209
CYBA	11354	14746	11354	17380	13696	11894	13037
CYBB	87088	161405	87088	241966	260929	55521	159478
CYBC1	1311	3001	1311	3546	2594	1559	2193
CYBRD1	105	3355	105	2258	2972	1630	4147
CYC1	2684	4793	2684	4697	4488	2829	4002
CYCS	1169	9303	1169	8089	8488	1134	9330
CYCSP52	0	1	0	0	0	0	1
CYFIP1	8993	43332	8993	36950	37491	18026	40103
CYFIP2	205	200	205	1	0	0	72
CYGB	441	354	441	629	620	198	291
CYHR1	41	978	41	547	566	292	1038
CYLC1	0	0	0	0	0	0	0
CYLC2	18	2	18	0	5	0	1
CYLD	611	6473	611	1994	2543	1137	4877
CYMP	0	0	0	0	0	0	0
CYMP-AS1	0	0	0	0	0	0	0
CYP11A1	0	0	0	0	0	0	0
CYP11B1	0	0	0	0	0	0	0
CYP11B2	0	0	0	0	0	0	0
CYP17A1	0	0	0	0	0	0	0
CYP19A1	1	46	1	45	83	0	0
CYP1A1	1	0	1	69	1	0	0
CYP1A2	61	62	61	45	72	0	19
CYP1B1	2368	78210	2368	14444	15522	25116	78231
CYP1B1-AS1	0	0	0	0	0	0	0
CYP20A1	2580	3133	2580	2868	2502	641	4356
CYP21A1P	0	0	0	1	0	0	0
CYP21A2	0	0	0	0	0	0	0
CYP24A1	0	0	0	0	0	0	0
CYP26A1	0	0	0	0	0	0	0
CYP26B1	0	0	0	0	1	0	0
CYP26C1	0	0	0	0	0	0	0
CYP27A1	149	1557	149	822	550	631	1569
CYP27B1	0	0	0	1	0	0	140
CYP27C1	37	4	37	4	3	2	0
CYP2A13	0	0	0	0	0	0	0
CYP2A6	0	0	0	0	0	0	0
CYP2A7	0	0	0	0	0	0	0
CYP2B6	5	0	5	6	2	3	0
CYP2B7P	0	0	0	3	0	0	14
CYP2C18	1	0	1	0	0	0	0
CYP2C19	5	1	5	2	0	1	1
CYP2C8	0	0	0	0	0	0	0
CYP2C9	0	0	0	0	0	0	0
CYP2D6	0	0	0	0	0	0	0
CYP2D7	0	0	0	0	0	0	0
CYP2E1	0	0	0	0	0	0	0
CYP2F1	0	0	0	0	0	0	0
CYP2G1P	0	0	0	0	0	0	0
CYP2J2	0	0	0	0	0	0	0
CYP2R1	409	410	409	464	179	194	397
CYP2S1	977	3423	977	3377	2690	1386	2414
CYP2T1P	93	0	93	3	0	0	63
CYP2U1	0	46	0	496	409	189	414
CYP2W1	0	41	0	0	0	0	31
CYP39A1	0	0	0	0	0	0	0
CYP3A4	0	0	0	0	0	0	0
CYP3A43	0	0	0	0	0	0	0
CYP3A5	0	1	0	0	3	0	0
CYP3A7	0	0	0	0	0	0	0
CYP3A7-CYP3A51P	0	0	0	0	0	0	0
CYP46A1	0	0	0	0	0	0	0
CYP4A11	0	0	0	0	0	0	0
CYP4A22	0	0	0	0	0	0	0
CYP4B1	0	0	0	0	0	0	0
CYP4F11	0	18	0	0	20	3	6
CYP4F12	0	0	0	0	0	0	0
CYP4F2	0	0	0	0	0	0	0
CYP4F22	0	0	0	0	0	0	0
CYP4F24P	0	0	0	0	0	0	0
CYP4F29P	0	0	0	0	0	0	0
CYP4F3	0	0	0	0	0	0	1
CYP4F30P	0	8	0	1	0	0	0
CYP4F35P	0	0	0	0	0	0	0
CYP4F62P	0	0	0	0	0	0	0
CYP4F8	0	0	0	0	0	0	0
CYP4V2	1054	1280	1054	1874	1427	983	1841
CYP4X1	0	72	0	59	0	0	0
CYP4Z1	0	0	0	0	0	0	0
CYP4Z2P	0	0	0	0	0	0	0
CYP51A1	2753	24441	2753	12503	13857	6480	25079
CYP51A1-AS1	0	6	0	0	0	0	0
CYP7A1	0	0	0	0	0	0	0
CYP7B1	13	1	13	2	7	125	2
CYP8B1	12	0	12	1	3	0	12
CYR61	0	1	0	2	1	2	0
CYREN	1022	1272	1022	1476	2016	857	1633
CYS1	0	0	0	0	0	0	0
CYSLTR1	659	2084	659	3630	2987	1052	3515
CYSLTR2	0	117	0	0	0	0	41
CYSRT1	0	0	0	0	0	0	0
CYSTM1	149	301	149	377	534	1	437
CYTB	256193	136452	256193	184962	174713	68068	125563
CYTH1	2308	9304	2308	5127	5328	2926	11257
CYTH2	482	2064	482	1571	866	796	1793
CYTH3	1	718	1	1319	1150	421	897
CYTH4	1956	7890	1956	4596	5681	2892	7605
CYTIP	56	1759	56	957	934	848	1575
CYTL1	0	57	0	298	176	0	0
CYTOR	0	147	0	742	0	392	749
CYYR1	0	0	0	0	0	0	0
CYYR1-AS1	0	1	0	5	3	0	28
CZ1P-ASNS	0	0	0	0	381	0	4
D21S2088E	0	0	0	0	0	0	0
D2HGDH	0	596	0	127	297	245	460
DAAM1	1061	2081	1061	2649	2294	190	2001
DAAM2	0	0	0	0	0	0	1
DAB1	502	9	502	147	5	0	97
DAB1-AS1	0	0	0	0	0	0	0
DAB2	13489	52388	13489	55088	61705	16414	50541
DAB2IP	196	65	196	65	1	0	54
DACH1	0	0	0	0	0	0	0
DACH2	0	0	0	0	0	0	0
DACT1	0	103	0	0	196	1	0
DACT2	0	0	0	0	0	0	0
DACT3	89	41	89	400	859	179	213
DACT3-AS1	0	1	0	0	0	0	0
DAD1	2747	11294	2747	11212	10824	4812	8437
DAG1	178	1542	178	627	790	206	1290
DAGLA	180	398	180	472	566	385	546
DAGLB	2001	6289	2001	7091	6216	2629	5084
DALRD3	0	142	0	175	354	163	303
DANCR	1	505	1	792	795	1	451
DAND5	38	13	38	9	0	3	44
DANT1	0	0	0	0	42	0	0
DANT2	0	1	0	57	0	0	1
DAO	0	0	0	0	0	0	0
DAOA	0	0	0	0	0	0	0
DAOA-AS1	0	0	0	0	0	0	0
DAP	277	2318	277	3163	3629	1369	2371
DAP3	2247	7524	2247	6126	6669	2890	6953
DAPK1	394	7211	394	2529	2628	3939	4827
DAPK1-IT1	44	6	44	12	0	2	9
DAPK2	0	2	0	162	0	0	30
DAPK3	351	1099	351	828	1218	575	716
DAPL1	0	0	0	0	256	0	0
DAPP1	78	870	78	700	766	610	1359
DARS	426	4421	426	4990	4671	536	4685
DARS-AS1	0	0	0	0	147	64	19
DARS2	196	2722	196	2265	2119	579	2644
DAW1	156	0	156	0	0	0	0
DAXX	1471	3818	1471	2403	2212	1804	3405
DAZ1	0	0	0	0	0	0	0
DAZ2	0	0	0	0	0	0	0
DAZ3	0	0	0	0	0	0	0
DAZ4	0	0	0	0	0	0	0
DAZAP1	2755	10204	2755	8605	8113	4986	9852
DAZAP2	9848	29705	9848	23679	26952	14600	30008
DAZL	0	0	0	0	0	0	0
DBET	0	0	0	0	0	1	0
DBF4	141	2130	141	743	944	856	1777
DBF4B	0	480	0	152	267	0	389
DBH	0	0	0	0	0	0	0
DBH-AS1	0	0	0	0	0	0	0
DBI	37905	159368	37905	148061	140332	44767	186085
DBIL5P	125	0	125	247	102	1	0
DBIL5P2	15	0	15	0	0	0	2
DBN1	114	832	114	593	268	154	282
DBNDD1	105	0	105	0	0	0	0
DBNDD2	881	2466	881	3027	3322	879	3498
DBNL	7898	29198	7898	21654	25254	10940	24351
DBP	139	308	139	793	315	181	325
DBR1	166	3066	166	1462	3066	911	3506
DBT	8	1190	8	806	689	140	714
DBX1	0	0	0	0	0	0	0
DBX2	0	0	0	0	0	0	0
DCAF1	302	3773	302	3695	4558	870	4124
DCAF10	743	1086	743	859	878	724	1616
DCAF11	1467	7445	1467	4568	4612	2981	5942
DCAF12	1261	11082	1261	5242	6044	1616	10195
DCAF12L1	0	0	0	0	0	0	0
DCAF12L2	0	0	0	0	0	0	0
DCAF13	349	3670	349	3859	3578	1743	4454
DCAF13P3	0	0	0	0	0	0	0
DCAF15	661	1798	661	813	1320	1173	1600
DCAF16	257	1324	257	1218	1183	501	1667
DCAF17	0	606	0	415	762	560	546
DCAF4	176	951	176	867	591	311	430
DCAF4L1	2	0	2	0	0	72	29
DCAF4L2	0	0	0	0	0	0	0
DCAF5	1097	2387	1097	2067	1116	684	2598
DCAF6	1622	12853	1622	6603	5795	5884	14577
DCAF7	3640	13640	3640	12046	11118	5137	13678
DCAF8	929	6187	929	3825	5026	2357	5633
DCAF8L1	0	0	0	0	0	0	0
DCAF8L2	0	1	0	0	0	0	0
DCAKD	12	271	12	446	640	0	181
DCANP1	0	1896	0	31	93	847	1562
DCBLD1	166	410	166	1	102	312	237
DCBLD2	167	1351	167	925	1162	941	1440
DCC	0	0	0	0	0	0	0
DCD	8	1	8	2	0	0	0
DCDC1	2	51	2	11	0	0	2
DCDC2	0	2	0	0	0	0	0
DCDC2B	0	0	0	0	0	0	0
DCDC2C	0	0	0	0	0	0	0
DCHS1	0	51	0	0	117	0	130
DCHS2	0	0	0	0	0	0	0
DCK	261	6921	261	4467	6342	1861	5339
DCLK1	2	1	2	0	0	0	44
DCLK2	0	258	0	0	181	295	29
DCLK3	0	0	0	102	0	0	0
DCLRE1A	121	955	121	994	927	0	397
DCLRE1B	170	1828	170	2362	1475	748	1369
DCLRE1C	312	1059	312	557	346	74	860
DCLRE1CP1	0	2	0	4	118	0	0
DCN	0	0	0	0	0	0	0
DCP1A	1284	1436	1284	1244	1942	922	1386
DCP1B	134	725	134	338	272	184	190
DCP2	1585	6721	1585	6060	8955	2369	8448
DCPS	297	481	297	187	215	220	1350
DCST1	0	0	0	0	0	0	0
DCST1-AS1	0	60	0	55	0	0	0
DCST2	0	0	0	0	0	0	0
DCSTAMP	0	0	0	0	0	0	0
DCT	0	0	0	0	0	0	0
DCTD	192	2715	192	1600	2979	1152	1953
DCTN1	3444	18817	3444	12711	12059	7049	15158
DCTN1-AS1	0	0	0	0	0	0	0
DCTN2	1758	5538	1758	4948	4067	1993	4657
DCTN3	873	2202	873	1717	2099	554	1715
DCTN4	508	5356	508	3125	4094	1627	6075
DCTN5	982	1888	982	2624	4174	1413	2828
DCTN6	105	504	105	668	1042	473	202
DCTPP1	1031	948	1031	1287	1897	1264	1419
DCUN1D1	785	5705	785	4314	5089	2193	5741
DCUN1D2	151	301	151	255	327	319	430
DCUN1D3	289	720	289	575	455	606	902
DCUN1D4	626	1218	626	1379	1478	0	1134
DCUN1D5	1404	6008	1404	5138	5252	2443	6303
DCX	0	31	0	1	0	0	48
DCXR	770	1034	770	1377	1168	852	658
DDA1	1448	2583	1448	3572	1936	584	2230
DDAH1	3	2	3	107	93	0	38
DDAH2	1769	2389	1769	2353	1419	1383	1583
DDB1	9982	39074	9982	31317	31710	15356	34522
DDB2	378	1758	378	990	802	476	1786
DDC	0	134	0	0	0	0	103
DDC-AS1	0	0	0	0	0	0	0
DDHD1	2	959	2	720	783	669	615
DDHD2	146	1680	146	947	904	342	1420
DDI1	0	0	0	0	0	0	0
DDI2	0	58	0	8	2	0	55
DDIAS	0	225	0	100	90	0	48
DDIT3	336	670	336	263	375	218	724
DDIT4	9	1707	9	806	696	84	1272
DDIT4L	1668	11380	1668	8448	11449	4228	11083
DDN	0	0	0	0	0	0	34
DDN-AS1	0	0	0	0	0	0	86
DDO	0	0	0	2	0	0	0
DDOST	8105	16807	8105	15328	15762	7685	14789
DDR1	0	68	0	548	236	1	175
DDR2	0	3	0	1	3	0	113
DDRGK1	7966	16628	7966	15460	12578	5960	11564
DDT	669	1626	669	2431	1932	1037	1262
DDTL	0	84	0	55	0	0	0
DDX1	3107	9413	3107	7106	7914	3133	9698
DDX10	340	4497	340	3709	2742	2028	4560
DDX11	516	1308	516	1722	1413	503	995
DDX11-AS1	0	0	0	0	0	0	0
DDX11L1	0	0	0	0	0	0	0
DDX11L10	0	0	0	0	0	0	0
DDX11L16	0	0	0	0	0	0	2
DDX11L2	0	130	0	275	128	0	229
DDX11L5	0	0	0	0	0	0	0
DDX11L9	195	27	195	0	0	0	0
DDX12P	0	342	0	0	200	0	8
DDX17	1769	16796	1769	10674	11906	4862	19866
DDX18	5731	6817	5731	7024	7103	2837	7999
DDX19A	1310	6048	1310	5457	4079	2722	5448
DDX19B	1353	2136	1353	2197	2089	725	2522
DDX20	697	2566	697	1182	2160	677	1784
DDX21	3516	6815	3516	7933	9240	3366	7081
DDX23	602	8830	602	6731	6128	3601	9100
DDX24	1709	9641	1709	5747	5611	1884	7304
DDX25	0	0	0	0	0	0	0
DDX27	4432	8554	4432	6510	5179	2661	8491
DDX28	130	964	130	967	674	430	784
DDX31	190	633	190	726	545	537	873
DDX39A	809	4574	809	3498	3661	2337	4545
DDX39B	959	10658	959	9317	9968	5132	11061
DDX39B-AS1	0	3	0	7	0	0	39
DDX3X	2295	29513	2295	20541	22932	4704	27797
DDX3Y	1	1	1	5	5	0	3
DDX4	0	0	0	0	0	0	27
DDX41	1885	5129	1885	3993	4435	1491	4908
DDX42	1605	14780	1605	9945	9412	4165	13157
DDX43	0	0	0	0	0	0	0
DDX46	14306	15917	14306	9371	10404	3740	12786
DDX47	1151	5882	1151	4031	3944	2112	5787
DDX49	518	2806	518	2977	1560	1154	1768
DDX5	4889	32149	4889	22068	25821	8166	32229
DDX50	710	3999	710	2418	3008	1803	4101
DDX51	262	301	262	558	365	112	354
DDX52	1208	3951	1208	1574	2013	131	2645
DDX53	0	0	0	0	0	0	0
DDX54	4007	10159	4007	8781	8065	3394	7061
DDX55	2529	2531	2529	1456	1956	150	2052
DDX56	440	1149	440	1462	1527	843	1312
DDX58	260	1920	260	428	452	264	991
DDX59	334	348	334	547	252	129	826
DDX6	912	5816	912	5335	7942	2332	5751
DDX60	0	759	0	156	385	0	720
DDX60L	139	1081	139	1546	879	114	1056
DEAF1	104	793	104	439	524	1	692
DEC1	0	0	0	0	0	0	0
DECR1	1460	5378	1460	4140	3744	2977	6105
DECR2	306	285	306	175	371	1	164
DEDD	729	2039	729	1831	1885	871	2267
DEDD2	3	1153	3	478	593	565	623
DEF6	7210	20667	7210	19072	13314	6481	17611
DEF8	583	1853	583	1671	2067	1293	1575
DEFA1	0	6	0	50	0	2	1
DEFA10P	0	0	0	0	0	0	0
DEFA11P	0	0	0	0	0	0	0
DEFA1B	0	6	0	50	0	2	1
DEFA3	173	0	173	0	5	0	2
DEFA4	0	0	0	0	0	0	0
DEFA5	0	0	0	0	0	0	0
DEFA6	0	0	0	0	0	0	0
DEFA8P	0	0	0	0	0	0	0
DEFA9P	0	0	0	0	0	0	0
DEFB1	0	0	0	0	0	0	0
DEFB103A	0	0	0	0	0	0	0
DEFB103B	0	0	0	0	0	0	0
DEFB104A	0	0	0	0	0	0	0
DEFB104B	0	0	0	0	0	0	0
DEFB105A	0	0	0	0	0	0	0
DEFB105B	0	0	0	0	0	0	0
DEFB106A	0	0	0	0	0	0	0
DEFB106B	0	0	0	0	0	0	0
DEFB107A	0	0	0	0	0	0	0
DEFB107B	0	0	0	0	0	0	0
DEFB108B	0	0	0	0	0	0	0
DEFB109A	0	0	0	0	0	0	0
DEFB109B	0	0	0	0	0	0	0
DEFB110	0	0	0	0	0	0	0
DEFB112	0	0	0	0	0	0	0
DEFB113	0	0	0	0	0	0	0
DEFB114	0	0	0	0	0	0	0
DEFB115	0	0	0	0	0	0	0
DEFB116	0	0	0	0	0	0	0
DEFB118	0	0	0	0	0	0	0
DEFB119	0	0	0	0	0	0	0
DEFB121	0	0	0	0	0	0	0
DEFB122	0	0	0	0	0	0	0
DEFB123	0	0	0	0	0	0	0
